scenario,optimizer,learning_rate,batch_size,l2,seed,epochs,epoch,training_loss
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,72,0.34549339817077607
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,73,0.34488105997356966
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,74,0.344275546162454
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,75,0.34367672013096373
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,76,0.3430844496917166
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,77,0.3424986068710248
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,78,0.3419190677159403
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,79,0.3413457121128113
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,80,0.3407784236165196
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,1,0.7342463089501043
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,2,0.4537534606642574
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,3,0.4343876036525726
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,4,0.4280658648854594
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,5,0.4206092349985153
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,6,0.4159617534374669
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,7,0.4114708265656291
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,8,0.4078914082951602
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,9,0.40458387970973303
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,10,0.40165442198417983
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,11,0.3989326916159458
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,12,0.39641004938158
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,13,0.3940335484726389
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,14,0.3917848989950996
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,15,0.3896431606405139
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,16,0.3875952279488635
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,17,0.3856303419326813
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,18,0.38373992344140495
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,19,0.38191722889865864
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,20,0.38015640264720485
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,21,0.37845267751630507
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,22,0.3768018011136331
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,23,0.37520016686933627
